,district_name,est_child_poverty,est_total_child,est_total_pop,year,,
134,Peyton School District 23-JT,151,890,4179,2012,8,6060
135,Pritchett School District RE-3,18,48,300,2012,8,6090
136,Pueblo City School District 60,6021,18337,109769,2012,8,6120
137,Pueblo County School District 70,1481,9685,50796,2012,8,6150
138,Rangely School District RE-4,87,481,2880,2012,8,6180
139,Ridgway School District R-2,60,305,2442,2012,8,6210
140,Garfield School District RE-2,780,5295,25259,2012,8,6240
141,Rocky Ford School District R-2,325,940,5461,2012,8,6270
142,Mountain Valley School District RE-1,64,165,1410,2012,8,6300
143,Salida School District R-32,203,1159,9467,2012,8,6330
144,Centennial School District R-1,103,279,1928,2012,8,6360
145,Sanford School District 6J,68,301,1370,2012,8,6390
146,Sangre de Cristo School District RE-22J,86,267,1280,2012,8,6420
147,Sargent School District RE-33J,71,210,1050,2012,8,6450
148,Widefield School District 3,1658,9674,47611,2012,8,6480
149,Hi-Plains School District R-23,22,89,558,2012,8,6510
150,Sheridan School District 2,578,1457,8358,2012,8,6540
151,Silverton School District 1,22,83,690,2012,8,6570
152,Big Sandy School District 100J,34,350,1877,2012,8,6600
153,Springfield School District RE-4,71,298,1978,2012,8,6630
154,Steamboat Springs School District RE-2,202,2473,17324,2012,8,6660
155,Valley School District RE-1,550,2813,20177,2012,8,6690
156,Prairie School District RE-11,11,79,410,2012,8,6720
157,Strasburg School District 31J,106,1120,4992,2012,8,6750
158,Stratton School District R-4,39,227,1101,2012,8,6780
159,Summit School District RE-1,384,3286,27902,2012,8,6810
160,Swink School District 33,59,241,1233,2012,8,6840
161,Telluride School District R-1,93,828,6044,2012,8,6870
162,Northglenn-Thornton School District 12,5889,43136,218418,2012,8,6900
163,Plainview School District RE-2,16,69,305,2012,8,6930
164,Trinidad School District 1,430,1592,10119,2012,8,6960
165,Vilas School District RE-5,9,43,237,2012,8,6990
166,North Park School District R-1,47,188,1348,2012,8,7050
167,Huerfano School District RE-1,257,650,5310,2012,8,7080
168,Walsh School District RE-1,51,153,984,2012,8,7110
169,Weldon Valley School District RE-20J,15,155,880,2012,8,7140
170,Custer County School District C-1,122,474,3909,2012,8,7200
171,Westminster School District 50,3901,13296,73154,2012,8,7230
172,Primero Reorganized School District 2,19,118,1111,2012,8,7260
173,Wiggins School District RE-50J,80,518,2556,2012,8,7290
174,Wiley School District RE-13-JT,33,192,937,2012,8,7320
175,Windsor School District RE-4,362,4722,22434,2012,8,7350
176,Woodland Park School District RE-2,416,3042,18577,2012,8,7380
177,Woodlin School District R-104,25,84,395,2012,8,7410
