,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
29,CHEYENNE COUNTY RE-5,CHEYENNE,1558290,1332532,248,5018491,7909561,8874.0,7588.0,1.0,28579.0,45043.0,2011
30,CLEAR CREEK RE-1,CLEAR CREEK,5268673,4743727,0,15450578,25462978,5808.0,5230.0,0.0,17033.0,28071.0,2011
31,NORTH CONEJOS RE-1J,CONEJOS,5645357,3426969,0,243677,9316003,5377.0,3264.0,0.0,232.0,8872.0,2011
32,SANFORD 6J,CONEJOS,1873125,1189438,0,577829,3640392,5704.0,3622.0,0.0,1760.0,11085.0,2011
33,SOUTH CONEJOS RE-10,CONEJOS,1500314,1473348,285,66216,3040164,5914.0,5807.0,1.0,261.0,11983.0,2011
34,CENTENNIAL R-1,COSTILLA,1146650,1347480,0,1143089,3637219,4861.0,5712.0,0.0,4846.0,15418.0,2011
35,SIERRA GRANDE R-30,COSTILLA,1655065,2171706,0,336992,4163762,6119.0,8028.0,0.0,1246.0,15393.0,2011
36,CROWLEY COUNTY RE-1-J,CROWLEY,2356953,1940489,0,161671,4459114,4854.0,3996.0,0.0,333.0,9183.0,2011
37,CONSOLIDATED C-1,CUSTER,2272482,1765506,0,2485898,6523887,5061.0,3932.0,0.0,5537.0,14530.0,2011
38,DELTA COUNTY 50J,DELTA,27095567,13635667,3730,28703417,69438381,5351.0,2693.0,1.0,5669.0,13714.0,2011
39,DENVER COUNTY 1,DENVER,445458597,384559117,24083605,376042967,1230144286,5939.0,5127.0,321.0,5014.0,16401.0,2011
40,DOLORES COUNTY RE NO.2,DOLORES,1778909,1443053,0,388379,3610340,6663.0,5405.0,0.0,1455.0,13522.0,2011
41,DOUGLAS COUNTY RE 1,DOUGLAS,290525230,185604803,832632,183111462,660074127,4874.0,3114.0,14.0,3072.0,11074.0,2011
42,EAGLE COUNTY RE 50,EAGLE,36781755,26959227,1341035,24393469,89475487,6137.0,4498.0,224.0,4070.0,14928.0,2011
43,ELIZABETH C-1,ELBERT,11552301,10927528,229963,6342578,29052370,4484.0,4242.0,89.0,2462.0,11277.0,2011
44,KIOWA C-2,ELBERT,2048736,1349278,0,335286,3733300,5728.0,3772.0,0.0,937.0,10437.0,2011
45,BIG SANDY 100J,ELBERT,2084007,1210121,2173,2990538,6286839,6810.0,3955.0,7.0,9773.0,20545.0,2011
46,ELBERT 200,ELBERT,1524465,1074631,0,41766,2640861,6855.0,4832.0,0.0,188.0,11874.0,2011
47,AGATE 300,ELBERT,314589,411232,0,8548,734369,6869.0,8979.0,0.0,187.0,16034.0,2011
48,CALHAN RJ-1,EL PASO,2676570,1947394,0,173776,4797740,5159.0,3754.0,0.0,335.0,9248.0,2011
49,HARRISON 2,EL PASO,50347660,40640718,95971,11878043,102962393,4862.0,3925.0,9.0,1147.0,9943.0,2011
50,WIDEFIELD 3,EL PASO,39394071,27862135,1308042,4477352,73041601,4592.0,3248.0,152.0,522.0,8515.0,2011
51,FOUNTAIN 8,EL PASO,37719632,26830998,148183,12142176,76840989,5233.0,3722.0,21.0,1684.0,10660.0,2011
52,COLORADO SPRINGS 11,EL PASO,156732194,102662745,1003119,34424388,294822446,5565.0,3645.0,36.0,1222.0,10468.0,2011
53,CHEYENNE MOUNTAIN 12,EL PASO,21842315,13852462,42498,20393418,56130692,4958.0,3144.0,10.0,4629.0,12742.0,2011
54,MANITOU SPRINGS 14,EL PASO,8039117,5757298,2849,717546,14516809,5604.0,4013.0,2.0,500.0,10120.0,2011
55,ACADEMY 20,EL PASO,116364214,76150859,330635,66681893,259527602,5186.0,3394.0,15.0,2972.0,11566.0,2011
56,ELLICOTT 22,EL PASO,4256775,3570723,0,3025088,10852586,4518.0,3790.0,0.0,3211.0,11518.0,2011
57,PEYTON 23 JT,EL PASO,2845645,2350101,0,3671771,8867518,4388.0,3624.0,0.0,5662.0,13674.0,2011
58,HANOVER 28,EL PASO,1436044,1314951,0,802486,3553481,6019.0,5511.0,0.0,3363.0,14893.0,2011
59,LEWIS-PALMER 38,EL PASO,26035998,20808353,354374,49752252,96950978,4594.0,3671.0,63.0,8778.0,17106.0,2011
60,FALCON 49,EL PASO,56585096,46100349,11710,17599959,120297114,3962.0,3227.0,1.0,1232.0,8422.0,2011
61,EDISON 54 JT,EL PASO,1143831,970218,0,50366,2164415,6223.0,5279.0,0.0,274.0,11776.0,2011
62,MIAMI/YODER 60 JT,EL PASO,1646851,1384654,0,261072,3292577,5391.0,4532.0,0.0,855.0,10778.0,2011
63,CANON CITY RE-1,FREMONT,17833015,12329770,175758,10460152,40798696,4723.0,3265.0,47.0,2770.0,10805.0,2011
64,FLORENCE RE-2,FREMONT,7250914,5837218,140006,7400446,20628585,4446.0,3579.0,86.0,4538.0,12649.0,2011
65,COTOPAXI RE-3,FREMONT,1311048,1107051,0,224660,2642760,6312.0,5330.0,0.0,1082.0,12724.0,2011
66,ROARING FORK RE-1,GARFIELD,31287549,16206256,0,88344174,135837979,6095.0,3157.0,0.0,17211.0,26464.0,2011
67,GARFIELD RE-2,GARFIELD,21218663,19223011,16115,29319320,69777109,4684.0,4243.0,4.0,6472.0,15402.0,2011
68,GARFIELD 16,GARFIELD,5454157,5302420,0,5151493,15908070,4730.0,4598.0,0.0,4467.0,13795.0,2011
69,GILPIN COUNTY RE-1,GILPIN,2375462,2292190,0,1841714,6509366,7177.0,6925.0,0.0,5564.0,19666.0,2011
70,WEST GRAND 1-JT.,GRAND,2750490,2283555,11742,884543,5930330,6157.0,5112.0,26.0,1980.0,13276.0,2011
71,EAST GRAND 2,GRAND,7257329,5706296,4136,10626927,23594688,5576.0,4384.0,3.0,8165.0,18127.0,2011
72,GUNNISON WATERSHED RE1J,GUNNISON,9551912,6088434,626,5185131,20826103,5541.0,3532.0,0.0,3008.0,12080.0,2011
73,HINSDALE COUNTY RE 1,HINSDALE,806946,615043,6425,101294,1529708,9793.0,7464.0,78.0,1229.0,18564.0,2011
74,HUERFANO RE-1,HUERFANO,2784726,2541904,0,5437592,10764222,4857.0,4434.0,0.0,9485.0,18776.0,2011
75,LA VETA RE-2,HUERFANO,1405165,1240026,0,318191,2963382,6002.0,5297.0,0.0,1359.0,12659.0,2011
76,NORTH PARK R-1,JACKSON,1533359,1156026,0,388,2689773,8152.0,6146.0,0.0,2.0,14300.0,2011
77,JEFFERSON COUNTY R-1,JEFFERSON,431165045,289496883,176792,128140153,848978872,5322.0,3573.0,2.0,1582.0,10478.0,2011
78,EADS RE-1,KIOWA,1246047,887395,0,22922,2156364,7088.0,5048.0,0.0,130.0,12266.0,2011
79,PLAINVIEW RE-2,KIOWA,624962,584719,0,0,1209681,7901.0,7392.0,0.0,0.0,15293.0,2011
80,ARRIBA-FLAGLER C-20,KIT CARSON,1185567,867428,4923,125178,2183096,7909.0,5787.0,33.0,835.0,14564.0,2011
81,HI PLAINS R-23,KIT CARSON,922268,788240,0,32985,1743493,7883.0,6737.0,0.0,282.0,14902.0,2011
82,STRATTON R-4,KIT CARSON,1342544,1022635,0,28087,2393265,7336.0,5588.0,0.0,153.0,13078.0,2011
83,BETHUNE R-5,KIT CARSON,1167087,844353,0,100,2011541,9621.0,6961.0,0.0,1.0,16583.0,2011
84,BURLINGTON RE-6J,KIT CARSON,3683266,2456917,27204,550869,6718256,5006.0,3339.0,37.0,749.0,9131.0,2011
85,LAKE COUNTY R-1,LAKE,5941246,4792777,818255,865817,12418094,5458.0,4403.0,752.0,795.0,11408.0,2011
86,DURANGO 9-R,LA PLATA,24173539,16460438,181173,28142976,68958126,5440.0,3704.0,41.0,6333.0,15518.0,2011
87,BAYFIELD 10 JT-R,LA PLATA,6115310,4962845,0,2707143,13785298,4622.0,3751.0,0.0,2046.0,10418.0,2011
88,IGNACIO 11 JT,LA PLATA,5057006,4494904,496,1913360,11465765,6566.0,5836.0,1.0,2484.0,14887.0,2011
89,POUDRE R-1,LARIMER,136165012,110123060,474289,57170841,303933202,5235.0,4233.0,18.0,2198.0,11684.0,2011
90,THOMPSON R-2J,LARIMER,72582278,57124467,1271536,112663428,243641709,4947.0,3893.0,87.0,7678.0,16605.0,2011
91,PARK ESTES PARK R-3,LARIMER,6470362,5226162,0,10935304,22631828,5745.0,4641.0,0.0,9710.0,20096.0,2011
92,TRINIDAD 1,LAS ANIMAS,6885216,5774670,1788,533950,13195623,4795.0,4022.0,1.0,372.0,9190.0,2011
93,PRIMERO REORGANIZED 2,LAS ANIMAS,1453629,1524788,0,1372821,4351238,7330.0,7689.0,0.0,6923.0,21943.0,2011
94,HOEHNE REORGANIZED 3,LAS ANIMAS,1332956,1407758,0,288931,3029645,3948.0,4170.0,0.0,856.0,8974.0,2011
95,AGUILAR REORGANIZED 6,LAS ANIMAS,1022003,971991,0,85148,2079142,9232.0,8780.0,0.0,769.0,18782.0,2011
96,BRANSON REORGANIZED 82,LAS ANIMAS,1894160,1121924,9102,0,3025186,4368.0,2587.0,21.0,0.0,6977.0,2011
97,KIM REORGANIZED 88,LAS ANIMAS,523570,625783,0,0,1149352,9434.0,11275.0,0.0,0.0,20709.0,2011
98,GENOA-HUGO C-113,LINCOLN,1274156,925712,0,128678,2328546,7625.0,5540.0,0.0,770.0,13935.0,2011
99,LIMON RE-4J,LINCOLN,2356132,1531066,321,256916,4144434,5218.0,3391.0,1.0,569.0,9179.0,2011
100,KARVAL RE-23,LINCOLN,1014434,924198,0,0,1938632,5075.0,4623.0,0.0,0.0,9698.0,2011
101,VALLEY RE-1,LOGAN,11715436,7949587,57923,12074093,31797039,5092.0,3455.0,25.0,5248.0,13821.0,2011
102,FRENCHMAN RE-3,LOGAN,1438512,842803,0,40889,2322204,7992.0,4682.0,0.0,227.0,12901.0,2011
103,BUFFALO RE-4,LOGAN,1824249,1289719,0,158317,3272285,5923.0,4187.0,0.0,514.0,10624.0,2011
104,PLATEAU RE-5,LOGAN,1434456,1065607,0,1256041,3756105,8340.0,6195.0,0.0,7303.0,21838.0,2011
105,DE BEQUE 49JT,MESA,973758,767416,0,268083,2009257,7796.0,6144.0,0.0,2146.0,16087.0,2011
106,PLATEAU VALLEY 50,MESA,2175177,1578288,0,3098662,6852126,4700.0,3410.0,0.0,6695.0,14806.0,2011
107,MESA COUNTY VALLEY 51,MESA,104127883,63213991,349433,104737817,272429124,4967.0,3015.0,17.0,4996.0,12995.0,2011
108,CREEDE CONSOLIDATED 1,MINERAL,890961,661968,0,101920,1654849,9119.0,6776.0,0.0,1043.0,16938.0,2011
109,MOFFAT COUNTY RE:NO 1,MOFFAT,12551427,9996576,0,2730212,25278215,5642.0,4493.0,0.0,1227.0,11362.0,2011
110,MONTEZUMA-CORTEZ RE-1,MONTEZUMA,13210044,11424213,500,550905,25185661,4678.0,4045.0,0.0,195.0,8918.0,2011
111,DOLORES RE-4A,MONTEZUMA,3463090,2255107,0,325857,6044054,5207.0,3391.0,0.0,490.0,9087.0,2011
112,MANCOS RE-6,MONTEZUMA,1986889,1714469,0,212983,3914340,5409.0,4668.0,0.0,580.0,10657.0,2011
113,MONTROSE COUNTY RE-1J,MONTROSE,26814951,17652957,568347,12744952,57781207,4448.0,2928.0,94.0,2114.0,9584.0,2011
114,WEST END RE-2,MONTROSE,1652887,1892376,0,130095,3675358,5306.0,6075.0,0.0,418.0,11799.0,2011
115,BRUSH RE-2J,MORGAN,7227887,4728194,0,7105098,19061178,5060.0,3310.0,0.0,4975.0,13345.0,2011
116,FORT MORGAN RE-3,MORGAN,13787371,12221315,319995,9685653,36014333,4611.0,4087.0,107.0,3239.0,12043.0,2011
117,WELDON VALLEY RE-20J,MORGAN,1429339,872574,23879,92926,2418718,7143.0,4361.0,119.0,464.0,12088.0,2011
118,WIGGINS RE-50J,MORGAN,2659825,1916797,0,425065,5001688,5349.0,3854.0,0.0,855.0,10058.0,2011
119,EAST OTERO R-1,OTERO,7172621,5065814,176609,1320546,13735590,5391.0,3807.0,133.0,993.0,10324.0,2011
120,ROCKY FORD R-2,OTERO,4441660,3408219,28406,6000,7884286,5378.0,4127.0,34.0,7.0,9546.0,2011
121,MANZANOLA 3J,OTERO,1088937,1284968,3064,37068,2414036,6226.0,7347.0,18.0,212.0,13802.0,2011
122,FOWLER R-4J,OTERO,2436223,1405598,0,1551660,5393481,5926.0,3419.0,0.0,3774.0,13120.0,2011
123,CHERAW 31,OTERO,1413383,1026490,63602,105184,2608659,7102.0,5158.0,320.0,529.0,13109.0,2011
124,SWINK 33,OTERO,2104824,1482952,0,657561,4245336,5837.0,4112.0,0.0,1824.0,11773.0,2011
125,OURAY R-1,OURAY,1748957,1083213,0,218071,3050241,8161.0,5055.0,0.0,1018.0,14234.0,2011
126,RIDGWAY R-2,OURAY,2235403,1754259,4000,6523079,10516742,6701.0,5259.0,12.0,19554.0,31525.0,2011
127,PLATTE CANYON 1,PARK,5358099,4559976,153334,931594,11003003,4803.0,4088.0,137.0,835.0,9864.0,2011
128,PARK COUNTY RE-2,PARK,4183166,2808904,5306,25055432,32052809,8040.0,5399.0,10.0,48156.0,61604.0,2011
129,HOLYOKE RE-1J,PHILLIPS,3489309,1859909,0,1988099,7337318,5892.0,3141.0,0.0,3357.0,12390.0,2011
130,HAXTUN RE-2J,PHILLIPS,2033549,1081620,0,3200,3118370,7007.0,3727.0,0.0,11.0,10746.0,2011
131,ASPEN 1,PITKIN,17564164,7016840,0,31442188,56023193,10672.0,4263.0,0.0,19105.0,34040.0,2011
132,GRANADA RE-1,PROWERS,1682334,1311191,0,0,2993525,7405.0,5771.0,0.0,0.0,13176.0,2011
133,LAMAR RE-2,PROWERS,7629648,4136047,132665,3510698,15409058,4838.0,2623.0,84.0,2226.0,9772.0,2011
134,HOLLY RE-3,PROWERS,1633434,1095248,18551,6045034,8792267,5990.0,4016.0,68.0,22167.0,32242.0,2011
135,WILEY RE-13 JT,PROWERS,1406653,911564,0,82893,2401110,6199.0,4017.0,0.0,365.0,10582.0,2011
136,PUEBLO CITY 60,PUEBLO,82440918,67282294,289546,9587931,159600689,4857.0,3964.0,17.0,565.0,9403.0,2011
137,PUEBLO COUNTY RURAL 70,PUEBLO,37190168,36419368,10196,21240879,94860611,4335.0,4245.0,1.0,2476.0,11056.0,2011
138,MEEKER RE1,RIO BLANCO,3871834,2271884,0,2360736,8504454,5977.0,3507.0,0.0,3644.0,13128.0,2011
139,RANGELY RE-4,RIO BLANCO,2819582,2379767,10843,2574334,7784526,6209.0,5241.0,24.0,5669.0,17143.0,2011
140,DEL NORTE C-7,RIO GRANDE,2588572,2215081,0,529874,5333528,4549.0,3893.0,0.0,931.0,9374.0,2011
141,MONTE VISTA C-8,RIO GRANDE,5180736,4023449,0,22807957,32012142,4499.0,3494.0,0.0,19805.0,27798.0,2011
142,SARGENT RE-33J,RIO GRANDE,2359631,1973443,0,373713,4706788,5028.0,4205.0,0.0,796.0,10029.0,2011
143,HAYDEN RE-1,ROUTT,3231868,2228233,0,70392,5530493,8228.0,5673.0,0.0,179.0,14080.0,2011
144,STEAMBOAT SPRINGS RE-2,ROUTT,13241065,8594781,0,7231582,29067429,5925.0,3846.0,0.0,3236.0,13007.0,2011
145,SOUTH ROUTT RE 3,ROUTT,2971748,2095397,0,915742,5982888,7849.0,5535.0,0.0,2419.0,15803.0,2011
146,MOUNTAIN VALLEY RE 1,SAGUACHE,1055956,858845,6228,0,1921029,9064.0,7372.0,53.0,0.0,16490.0,2011
147,MOFFAT 2,SAGUACHE,1632741,1305003,0,4475206,7412950,8180.0,6538.0,0.0,22421.0,37139.0,2011
148,CENTER 26 JT,SAGUACHE,3882536,3307372,125738,20526553,27842199,6693.0,5701.0,217.0,35385.0,47996.0,2011
149,SILVERTON 1,SAN JUAN,730805,409292,0,6181429,7321526,10859.0,6082.0,0.0,91849.0,108789.0,2011
150,TELLURIDE R-1,SAN MIGUEL,5129801,3190128,247932,2253292,10821153,7109.0,4421.0,344.0,3123.0,14996.0,2011
151,NORWOOD R-2J,SAN MIGUEL,2002888,1419245,0,295312,3717445,7689.0,5448.0,0.0,1134.0,14270.0,2011
152,JULESBURG RE-1,SEDGWICK,4075313,1630503,0,111428,5817244,4700.0,1881.0,0.0,129.0,6710.0,2011
153,PLATTE VALLEY RE-3,SEDGWICK,1202273,794366,0,0,1996639,9665.0,6386.0,0.0,0.0,16050.0,2011
154,SUMMIT RE-1,SUMMIT,19002258,14664891,0,45548651,79215800,6458.0,4984.0,0.0,15481.0,26923.0,2011
155,CRIPPLE CREEK-VICTOR RE-1,TELLER,3788195,1724578,0,1292359,6805131,9217.0,4196.0,0.0,3144.0,16557.0,2011
156,WOODLAND PARK RE-2,TELLER,13553777,8298072,0,2039067,23890916,5081.0,3111.0,0.0,764.0,8957.0,2011
157,AKRON R-1,WASHINGTON,2187495,1476667,0,17504052,21168214,5915.0,3993.0,0.0,47334.0,57242.0,2011
158,ARICKAREE R-2,WASHINGTON,861951,871826,0,0,1733777,8534.0,8632.0,0.0,0.0,17166.0,2011
159,OTIS R-3,WASHINGTON,1359455,945882,0,60970,2366307,7281.0,5066.0,0.0,327.0,12674.0,2011
160,LONE STAR 101,WASHINGTON,1093754,579025,0,0,1672779,10222.0,5411.0,0.0,0.0,15633.0,2011
161,WOODLIN R-104,WASHINGTON,807893,887833,0,0,1695726,8522.0,9365.0,0.0,0.0,17887.0,2011
162,WELD RE-1,WELD,9019282,6744292,10479,263346,16037399,4979.0,3723.0,6.0,145.0,8854.0,2011
163,EATON RE-2,WELD,8270163,5158925,3765,1863129,15295982,4726.0,2948.0,2.0,1065.0,8741.0,2011
164,KEENESBURG RE-3J,WELD,10633504,8906912,5660,5160832,24706908,4961.0,4156.0,3.0,2408.0,11528.0,2011
165,WINDSOR RE-4,WELD,20493490,14730715,254,8478417,43702876,4748.0,3413.0,0.0,1964.0,10126.0,2011
166,JOHNSTOWN-MILIKEN RE-5J,WELD,15004367,8221519,0,10608726,33834613,4878.0,2673.0,0.0,3449.0,11000.0,2011
167,GREELEY 6,WELD,92539792,62230656,0,15832408,170602855,4901.0,3296.0,0.0,838.0,9035.0,2011
168,PLATTE VALLEY RE-7,WELD,6098358,5257553,0,2343028,13698939,5523.0,4761.0,0.0,2122.0,12406.0,2011
169,WELD COUNTY S/D RE-8,WELD,11481392,10651369,21088,1013660,23167509,5035.0,4671.0,9.0,445.0,10159.0,2011
170,AULT-HIGHLAND RE-9,WELD,4137867,3099750,0,763505,8001121,4976.0,3728.0,0.0,918.0,9623.0,2011
171,BRIGGSDALE RE-10,WELD,1233274,981046,0,4309302,6523622,8373.0,6660.0,0.0,29255.0,44288.0,2011
172,PRAIRIE RE-11,WELD,1274206,897036,0,901575,3072817,7774.0,5473.0,0.0,5501.0,18748.0,2011
173,PAWNEE RE-12,WELD,1175964,845990,0,66448,2088402,12327.0,8868.0,0.0,697.0,21891.0,2011
174,YUMA 1,YUMA,4593836,3283200,659,3774114,11651810,5868.0,4194.0,1.0,4821.0,14883.0,2011
175,WRAY RD-2,YUMA,3735725,2942154,0,994744,7672623,5572.0,4389.0,0.0,1484.0,11445.0,2011
176,IDALIA RJ-3,YUMA,1115415,829568,0,1113957,3058941,8124.0,6042.0,0.0,8113.0,22279.0,2011
177,LIBERTY J-4,YUMA,1033616,704354,0,0,1737970,12605.0,8590.0,0.0,0.0,21195.0,2011
178,CHARTER SCHOOL INSTITUTE,,35842798,29870470,34733,11932555,77680555,3539.0,2950.0,3.0,1178.0,7671.0,2011
0,MAPLETON 1,ADAMS,38592373,25709054,779878,4153285,69234590,5081.0,3385.0,103.0,547.0,9115.0,2012
1,ADAMS 12 FIVE STAR,ADAMS,221051769,120585070,1335918,51372445,394345203,5347.0,2917.0,32.0,1243.0,9538.0,2012
2,ADAMS COUNTY 14,ADAMS,38196626,36456267,413091,77970868,153036852,5516.0,5265.0,60.0,11260.0,22100.0,2012
3,BRIGHTON 27J,ADAMS,67423272,52627926,247509,24647115,144945822,4392.0,3428.0,16.0,1605.0,9441.0,2012
4,BENNETT 29J,ADAMS,4894710,3252791,0,988729,9136230,4766.0,3167.0,0.0,963.0,8895.0,2012
5,STRASBURG 31J,ADAMS,4710647,3332579,0,915163,8958388,4969.0,3515.0,0.0,965.0,9449.0,2012
6,WESTMINSTER 50,ADAMS,51056308,43443024,314038,90681536,185494906,5359.0,4560.0,33.0,9519.0,19472.0,2012
7,ALAMOSA RE-11J,ALAMOSA,10151109,6700480,0,3627322,20478912,4869.0,3214.0,0.0,1740.0,9822.0,2012
8,SANGRE DE CRISTO RE-22J,ALAMOSA,1960773,1480137,0,302480,3743390,6633.0,5007.0,0.0,1023.0,12664.0,2012
9,ENGLEWOOD 1,ARAPAHOE,17587156,13168246,79692,5980424,36815518,6193.0,4637.0,28.0,2106.0,12964.0,2012
10,SHERIDAN 2,ARAPAHOE,10801218,9667756,143183,11341635,31953792,7344.0,6574.0,97.0,7712.0,21727.0,2012
11,CHERRY CREEK 5,ARAPAHOE,330909669,152863438,767392,50986603,535527101,6561.0,3031.0,15.0,1011.0,10618.0,2012
12,LITTLETON 6,ARAPAHOE,86794549,52998671,3930,13772282,153569434,5832.0,3561.0,0.0,925.0,10319.0,2012
13,DEER TRAIL 26J,ARAPAHOE,1357709,937452,22796,54116,2372072,8371.0,5780.0,141.0,334.0,14624.0,2012
14,ADAMS-ARAPAHOE 28J,ARAPAHOE,200674335,147642301,1326773,37766625,387410034,5409.0,3980.0,36.0,1018.0,10443.0,2012
15,BYERS 32J,ARAPAHOE,2853993,1852690,46011,417671,5170366,5504.0,3573.0,89.0,806.0,9972.0,2012
16,ARCHULETA COUNTY 50 JT,ARCHULETA,7121917,7397365,0,1064617,15583900,4913.0,5103.0,0.0,734.0,10750.0,2012
17,WALSH RE-1,BACA,1133545,954801,0,9169,2097515,7866.0,6626.0,0.0,64.0,14556.0,2012
18,PRITCHETT RE-3,BACA,606775,583207,0,0,1189982,10046.0,9656.0,0.0,0.0,19702.0,2012
19,SPRINGFIELD RE-4,BACA,1721448,1137949,0,47305,2906702,6416.0,4241.0,0.0,176.0,10834.0,2012
20,VILAS RE-5,BACA,1016922,769963,0,26814,1813698,4678.0,3542.0,0.0,123.0,8343.0,2012
21,CAMPO RE-6,BACA,541233,439691,1350,0,982274,11516.0,9355.0,29.0,0.0,20899.0,2012
22,LAS ANIMAS RE-1,BENT,2692534,1998661,0,217967,4909162,5175.0,3841.0,0.0,419.0,9435.0,2012
23,MCCLAVE RE-2,BENT,1525175,1116099,764,141100,2783138,5771.0,4223.0,3.0,534.0,10530.0,2012
24,ST VRAIN VALLEY RE 1J,BOULDER,132480552,103551201,937482,40781310,277750545,4869.0,3806.0,34.0,1499.0,10208.0,2012
25,BOULDER VALLEY RE 2,BOULDER,183564738,136261197,4805604,30376709,355008248,6432.0,4775.0,168.0,1064.0,12440.0,2012
26,BUENA VISTA R-31,CHAFFEE,5682589,4002157,0,3095071,12779817,6158.0,4337.0,0.0,3354.0,13849.0,2012
27,SALIDA R-32,CHAFFEE,7329927,4340042,0,2302801,13972770,6749.0,3996.0,0.0,2120.0,12865.0,2012
28,KIT CARSON R-1,CHEYENNE,1205614,998356,0,31793,2235762,10901.0,9027.0,0.0,287.0,20215.0,2012
29,CHEYENNE COUNTY RE-5,CHEYENNE,1660347,1251263,0,727675,3639286,9559.0,7204.0,0.0,4189.0,20952.0,2012
30,CLEAR CREEK RE-1,CLEAR CREEK,5476168,4751090,0,2076496,12303754,6139.0,5326.0,0.0,2328.0,13793.0,2012
31,NORTH CONEJOS RE-1J,CONEJOS,5721444,3634156,0,0,9355600,5507.0,3498.0,0.0,0.0,9004.0,2012
32,SANFORD 6J,CONEJOS,1859731,1170811,0,89083,3119624,5617.0,3536.0,0.0,269.0,9422.0,2012
33,SOUTH CONEJOS RE-10,CONEJOS,1630178,1349669,0,40975,3020821,6784.0,5617.0,0.0,171.0,12571.0,2012
34,CENTENNIAL R-1,COSTILLA,1092926,1120145,60807,6884370,9158247,5138.0,5266.0,286.0,32367.0,43057.0,2012
35,SIERRA GRANDE R-30,COSTILLA,1700971,1761854,0,1112878,4575704,6371.0,6599.0,0.0,4168.0,17137.0,2012
36,CROWLEY COUNTY RE-1-J,CROWLEY,2374027,2248889,0,562816,5185732,4994.0,4731.0,0.0,1184.0,10908.0,2012
37,CONSOLIDATED C-1,CUSTER,2245767,1639112,0,442525,4327404,5263.0,3841.0,0.0,1037.0,10142.0,2012
38,DELTA COUNTY 50J,DELTA,27715991,13374636,0,4153773,45244399,5505.0,2656.0,0.0,825.0,8986.0,2012
39,DENVER COUNTY 1,DENVER,474517651,382873858,26598350,758392218,1642382077,6143.0,4956.0,344.0,9817.0,21260.0,2012
40,DOLORES COUNTY RE NO.2,DOLORES,1764589,1375288,0,356564,3496441,6629.0,5166.0,0.0,1339.0,13135.0,2012
41,DOUGLAS COUNTY RE 1,DOUGLAS,332239033,218736354,356831,123325079,674657297,5429.0,3574.0,6.0,2015.0,11024.0,2012
42,EAGLE COUNTY RE 50,EAGLE,36048955,31334039,201271,136524894,204109159,5952.0,5174.0,33.0,22542.0,33700.0,2012
43,ELIZABETH C-1,ELBERT,11072379,10051895,230447,2239742,23594463,4390.0,3986.0,91.0,888.0,9355.0,2012
44,KIOWA C-2,ELBERT,2143528,1377857,0,365637,3887022,6050.0,3889.0,0.0,1032.0,10971.0,2012
45,BIG SANDY 100J,ELBERT,2152759,1199882,2387,215813,3570840,7212.0,4020.0,8.0,723.0,11963.0,2012
46,ELBERT 200,ELBERT,1489467,971845,0,65082,2526394,6950.0,4535.0,0.0,304.0,11789.0,2012
47,AGATE 300,ELBERT,313302,401500,0,4521,719324,7755.0,9938.0,0.0,112.0,17805.0,2012
48,CALHAN RJ-1,EL PASO,2436433,1804419,0,141013,4381864,4780.0,3540.0,0.0,277.0,8597.0,2012
49,HARRISON 2,EL PASO,50841612,49179271,116458,8811435,108948776,4890.0,4730.0,11.0,848.0,10479.0,2012
50,WIDEFIELD 3,EL PASO,40031148,29427340,1240763,6504028,77203279,4620.0,3396.0,143.0,751.0,8910.0,2012
51,FOUNTAIN 8,EL PASO,40037752,27591929,150507,1989820,69770008,5468.0,3768.0,21.0,272.0,9528.0,2012
52,COLORADO SPRINGS 11,EL PASO,151377046,130288126,947038,116584430,399196639,5403.0,4650.0,34.0,4161.0,14248.0,2012
53,CHEYENNE MOUNTAIN 12,EL PASO,23437482,14072607,87198,4495438,42092724,5350.0,3213.0,20.0,1026.0,9609.0,2012
54,MANITOU SPRINGS 14,EL PASO,7767247,5429369,9075,777200,13982891,5433.0,3798.0,6.0,544.0,9780.0,2012
55,ACADEMY 20,EL PASO,118822344,78960290,84986,22544373,220411993,5230.0,3475.0,4.0,992.0,9701.0,2012
56,ELLICOTT 22,EL PASO,4104170,3306037,0,773748,8183956,4312.0,3474.0,0.0,813.0,8599.0,2012
57,PEYTON 23 JT,EL PASO,2755330,2104846,0,466297,5326473,4285.0,3273.0,0.0,725.0,8284.0,2012
58,HANOVER 28,EL PASO,1559803,1490865,0,743300,3793969,6957.0,6650.0,0.0,3315.0,16922.0,2012
59,LEWIS-PALMER 38,EL PASO,26777701,18788180,362927,30351042,76279849,4644.0,3258.0,63.0,5264.0,13229.0,2012
60,FALCON 49,EL PASO,58696517,52124430,12349,14938223,125771519,4028.0,3577.0,1.0,1025.0,8631.0,2012
61,EDISON 54 JT,EL PASO,1160643,828195,0,29930,2018768,6543.0,4669.0,0.0,169.0,11380.0,2012
62,MIAMI/YODER 60 JT,EL PASO,1804560,1419999,0,250341,3474900,6180.0,4863.0,0.0,857.0,11900.0,2012
63,CANON CITY RE-1,FREMONT,17615925,11986330,167719,2385405,32155379,4716.0,3209.0,45.0,639.0,8609.0,2012
