,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
47,AGATE 300,ELBERT,425028,441689,0,7571,874287,8350.0,8678.0,0.0,149.0,17177.0,2010
48,CALHAN RJ-1,EL PASO,3023985,2146057,0,2418451,7588494,5001.0,3549.0,0.0,3999.0,12549.0,2010
49,HARRISON 2,EL PASO,54044629,42646191,287025,50164023,147141867,5218.0,4117.0,28.0,4843.0,14206.0,2010
50,WIDEFIELD 3,EL PASO,39516228,28157023,1241582,3812723,72727556,4729.0,3369.0,149.0,456.0,8703.0,2010
51,FOUNTAIN 8,EL PASO,37870779,27346307,147492,11470695,76835273,5351.0,3864.0,21.0,1621.0,10857.0,2010
52,COLORADO SPRINGS 11,EL PASO,161092973,108186543,1092919,47693330,318065765,5704.0,3830.0,39.0,1689.0,11261.0,2010
53,CHEYENNE MOUNTAIN 12,EL PASO,22570602,14167082,42775,5416241,42196700,5083.0,3191.0,10.0,1220.0,9504.0,2010
54,MANITOU SPRINGS 14,EL PASO,7918041,5412704,5492,7182559,20518796,5893.0,4028.0,4.0,5345.0,15270.0,2010
55,ACADEMY 20,EL PASO,114948955,73502417,110779,30962350,219524501,5252.0,3358.0,5.0,1415.0,10029.0,2010
56,ELLICOTT 22,EL PASO,3872894,3200748,0,1184566,8258208,4142.0,3423.0,0.0,1267.0,8831.0,2010
57,PEYTON 23 JT,EL PASO,2901835,2485926,0,629396,6017158,4368.0,3742.0,0.0,947.0,9057.0,2010
58,HANOVER 28,EL PASO,1482289,1294630,0,8958674,11735593,5719.0,4995.0,0.0,34563.0,45276.0,2010
59,LEWIS-PALMER 38,EL PASO,25630125,21124864,256360,11822654,58834002,4549.0,3750.0,46.0,2098.0,10443.0,2010
60,FALCON 49,EL PASO,59459096,48404997,13822,18873666,126751580,4239.0,3451.0,1.0,1345.0,9036.0,2010
61,EDISON 54 JT,EL PASO,1296122,1132324,0,108172,2536619,6366.0,5562.0,0.0,531.0,12459.0,2010
62,MIAMI/YODER 60 JT,EL PASO,2064279,1619294,0,366832,4050406,6481.0,5084.0,0.0,1152.0,12717.0,2010
63,CANON CITY RE-1,FREMONT,17962021,12674685,216931,2708711,33562348,4721.0,3331.0,57.0,712.0,8822.0,2010
64,FLORENCE RE-2,FREMONT,7606216,6000356,53636,1936295,15596503,4580.0,3613.0,32.0,1166.0,9392.0,2010
65,COTOPAXI RE-3,FREMONT,1609096,1163295,0,249481,3021872,7405.0,5353.0,0.0,1148.0,13906.0,2010
66,ROARING FORK RE-1,GARFIELD,30316806,16946356,0,9955959,57219121,5909.0,3303.0,0.0,1941.0,11153.0,2010
67,GARFIELD RE-2,GARFIELD,23068475,17703852,19496,24546883,65338706,4802.0,3685.0,4.0,5110.0,13602.0,2010
68,GARFIELD 16,GARFIELD,5762215,5234109,0,7879888,18876212,4908.0,4458.0,0.0,6711.0,16077.0,2010
69,GILPIN COUNTY RE-1,GILPIN,2467691,2159324,0,1943793,6570808,7435.0,6506.0,0.0,5857.0,19798.0,2010
70,WEST GRAND 1-JT.,GRAND,2652712,2044068,1876,1023870,5722526,5802.0,4471.0,4.0,2239.0,12516.0,2010
71,EAST GRAND 2,GRAND,7272497,5708451,6348,3339793,16327089,5466.0,4291.0,5.0,2510.0,12272.0,2010
72,GUNNISON WATERSHED RE1J,GUNNISON,9412766,6288162,24,15273205,30974157,5439.0,3634.0,0.0,8825.0,17898.0,2010
73,HINSDALE COUNTY RE 1,HINSDALE,721625,601989,6880,108459,1438952,8560.0,7141.0,82.0,1287.0,17069.0,2010
74,HUERFANO RE-1,HUERFANO,3050360,2714652,0,520259,6285272,5177.0,4607.0,0.0,883.0,10667.0,2010
75,LA VETA RE-2,HUERFANO,1484452,1329084,0,168002,2981538,6027.0,5396.0,0.0,682.0,12105.0,2010
76,NORTH PARK R-1,JACKSON,1458972,1289280,10979,0,2759231,7421.0,6558.0,56.0,0.0,14035.0,2010
77,JEFFERSON COUNTY R-1,JEFFERSON,454936511,300391391,200277,136328752,891856933,5603.0,3700.0,2.0,1679.0,10985.0,2010
78,EADS RE-1,KIOWA,1278627,908047,0,0,2186674,7306.0,5189.0,0.0,0.0,12495.0,2010
79,PLAINVIEW RE-2,KIOWA,617936,560560,0,2335,1180831,7902.0,7168.0,0.0,30.0,15100.0,2010
80,ARRIBA-FLAGLER C-20,KIT CARSON,1206717,898842,25935,124469,2255963,7770.0,5788.0,167.0,801.0,14526.0,2010
81,HI PLAINS R-23,KIT CARSON,877543,775064,0,756,1653363,8007.0,7072.0,0.0,7.0,15085.0,2010
82,STRATTON R-4,KIT CARSON,1295799,977592,0,61104,2334495,6512.0,4913.0,0.0,307.0,11731.0,2010
83,BETHUNE R-5,KIT CARSON,1108049,845682,0,974,1954705,9188.0,7012.0,0.0,8.0,16208.0,2010
84,BURLINGTON RE-6J,KIT CARSON,3688842,2547574,33597,779506,7049519,5005.0,3456.0,46.0,1058.0,9564.0,2010
85,LAKE COUNTY R-1,LAKE,6025504,4690713,838499,1135497,12690213,5553.0,4323.0,773.0,1047.0,11696.0,2010
86,DURANGO 9-R,LA PLATA,23171208,16241279,166236,38246828,77825551,5142.0,3604.0,37.0,8487.0,17269.0,2010
87,BAYFIELD 10 JT-R,LA PLATA,6276421,5090927,0,1519012,12886360,4697.0,3809.0,0.0,1137.0,9643.0,2010
88,IGNACIO 11 JT,LA PLATA,5266768,4611626,242,374139,10252776,6762.0,5921.0,0.0,480.0,13163.0,2010
89,POUDRE R-1,LARIMER,131660692,97631552,483298,33289706,263065248,5164.0,3829.0,19.0,1306.0,10318.0,2010
90,THOMPSON R-2J,LARIMER,72245352,56991771,2224388,14897306,146358817,4993.0,3939.0,154.0,1030.0,10115.0,2010
91,PARK ESTES PARK R-3,LARIMER,6212577,4640598,0,2243672,13096847,5381.0,4019.0,0.0,1943.0,11343.0,2010
92,TRINIDAD 1,LAS ANIMAS,7199190,5658567,3249,1040571,13901578,4957.0,3897.0,2.0,717.0,9573.0,2010
93,PRIMERO REORGANIZED 2,LAS ANIMAS,1496695,1363504,0,1468978,4329177,7266.0,6619.0,0.0,7131.0,21015.0,2010
94,HOEHNE REORGANIZED 3,LAS ANIMAS,1526007,1552144,0,319534,3397684,4680.0,4760.0,0.0,980.0,10419.0,2010
95,AGUILAR REORGANIZED 6,LAS ANIMAS,1224629,917243,0,86848,2228719,9964.0,7463.0,0.0,707.0,18134.0,2010
