district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
MAPLETON 1,ADAMS,38157232,24772389,1133114,47915629,111978365, 5211 , 3383 , 155 , 6544 , 15293 
ADAMS 12 FIVE STAR,ADAMS,222647754,122690063,1234485,204125589,550697892, 5417 , 2985 , 30 , 4966 , 13397 
ADAMS COUNTY 14,ADAMS,35356243,37275630,795722,7400225,80827821, 5233 , 5517 , 118 , 1095 , 11963 
BRIGHTON 27J,ADAMS,62834937,49692282,261089,61259467,174047775, 4239 , 3353 , 18 , 4133 , 11743 
BENNETT 29J,ADAMS,4471446,3839480,0,8277945,16588870, 4268 , 3665 , 0 , 7902 , 15835 
STRASBURG 31J,ADAMS,4441915,3371557,0,6942257,14755729, 4663 , 3540 , 0 , 7288 , 15492 
WESTMINSTER 50,ADAMS,50976836,42731800,485730,10856522,105050888, 5342 , 4478 , 51 , 1138 , 11008 
ALAMOSA RE-11J,ALAMOSA,9854985,6906565,0,2891497,19653047, 4698 , 3293 , 0 , 1378 , 9369 
SANGRE DE CRISTO RE-22J,ALAMOSA,1729715,1699152,0,1014642,4443509, 5816 , 5713 , 0 , 3412 , 14941 
ENGLEWOOD 1,ARAPAHOE,17653095,12953157,177585,6414260,37198098, 6022 , 4419 , 61 , 2188 , 12690 
SHERIDAN 2,ARAPAHOE,10549826,10061700,52498,4567087,25231110, 7083 , 6755 , 35 , 3066 , 16939 
CHERRY CREEK 5,ARAPAHOE,323780400,150242974,1116022,136020063,611159459, 6503 , 3018 , 22 , 2732 , 12275 
LITTLETON 6,ARAPAHOE,84782588,52823735,4783,17185358,154796463, 5679 , 3539 , 0 , 1151 , 10370 
DEER TRAIL 26J,ARAPAHOE,1370559,1039739,23320,30733,2464351, 8724 , 6618 , 148 , 196 , 15687 
ADAMS-ARAPAHOE 28J,ARAPAHOE,194041294,142067306,1350276,262051593,599510470, 5309 , 3887 , 37 , 7169 , 16402 
BYERS 32J,ARAPAHOE,2403715,1961002,48645,1085737,5499099, 5299 , 4323 , 107 , 2394 , 12123 
ARCHULETA COUNTY 50 JT,ARCHULETA,7239297,6966180,0,940545,15146022, 4884 , 4700 , 0 , 635 , 10218 
WALSH RE-1,BACA,1183935,953754,0,18146,2155835, 8054 , 6488 , 0 , 123 , 14666 
PRITCHETT RE-3,BACA,694331,609447,0,0,1303777, 10332 , 9069 , 0 , 0 , 19401 
SPRINGFIELD RE-4,BACA,1652702,1138387,0,26331,2817420, 6121 , 4216 , 0 , 98 , 10435 
VILAS RE-5,BACA,1235157,901414,0,291,2136862, 4237 , 3092 , 0 , 1 , 7331 
CAMPO RE-6,BACA,537284,527999,18804,0,1084087, 11033 , 10842 , 386 , 0 , 22261 
LAS ANIMAS RE-1,BENT,2708401,2127892,0,483894,5320186, 5124 , 4026 , 0 , 915 , 10065 
MCCLAVE RE-2,BENT,1473523,1255272,1364,143959,2874118, 5431 , 4627 , 5 , 531 , 10594 
ST VRAIN VALLEY RE 1J,BOULDER,131469112,96330428,769071,109303868,337872480, 5033 , 3688 , 29 , 4185 , 12935 
BOULDER VALLEY RE 2,BOULDER,180641258,114267073,4798932,79475218,379182480, 6379 , 4035 , 169 , 2807 , 13390 
BUENA VISTA R-31,CHAFFEE,5374699,3789206,0,638703,9802607, 5724 , 4035 , 0 , 680 , 10439 
SALIDA R-32,CHAFFEE,6579209,4652874,0,24540583,35772665, 6156 , 4353 , 0 , 22961 , 33470 
KIT CARSON R-1,CHEYENNE,1117972,876569,0,91831,2086372, 9764 , 7656 , 0 , 802 , 18222 
CHEYENNE COUNTY RE-5,CHEYENNE,1558290,1332532,248,5018491,7909561, 8874 , 7588 , 1 , 28579 , 45043 
CLEAR CREEK RE-1,CLEAR CREEK,5268673,4743727,0,15450578,25462978, 5808 , 5230 , 0 , 17033 , 28071 
NORTH CONEJOS RE-1J,CONEJOS,5645357,3426969,0,243677,9316003, 5377 , 3264 , 0 , 232 , 8872 
SANFORD 6J,CONEJOS,1873125,1189438,0,577829,3640392, 5704 , 3622 , 0 , 1760 , 11085 
SOUTH CONEJOS RE-10,CONEJOS,1500314,1473348,285,66216,3040164, 5914 , 5807 , 1 , 261 , 11983 
CENTENNIAL R-1,COSTILLA,1146650,1347480,0,1143089,3637219, 4861 , 5712 , 0 , 4846 , 15418 
SIERRA GRANDE R-30,COSTILLA,1655065,2171706,0,336992,4163762, 6119 , 8028 , 0 , 1246 , 15393 
CROWLEY COUNTY RE-1-J,CROWLEY,2356953,1940489,0,161671,4459114, 4854 , 3996 , 0 , 333 , 9183 
CONSOLIDATED C-1,CUSTER,2272482,1765506,0,2485898,6523887, 5061 , 3932 , 0 , 5537 , 14530 
DELTA COUNTY 50J,DELTA,27095567,13635667,3730,28703417,69438381, 5351 , 2693 , 1 , 5669 , 13714 
DENVER COUNTY 1,DENVER,445458597,384559117,24083605,376042967,1230144286, 5939 , 5127 , 321 , 5014 , 16401 
DOLORES COUNTY RE NO.2,DOLORES,1778909,1443053,0,388379,3610340, 6663 , 5405 , 0 , 1455 , 13522 
DOUGLAS COUNTY RE 1,DOUGLAS,290525230,185604803,832632,183111462,660074127, 4874 , 3114 , 14 , 3072 , 11074 
EAGLE COUNTY RE 50,EAGLE,36781755,26959227,1341035,24393469,89475487, 6137 , 4498 , 224 , 4070 , 14928 
ELIZABETH C-1,ELBERT,11552301,10927528,229963,6342578,29052370, 4484 , 4242 , 89 , 2462 , 11277 
KIOWA C-2,ELBERT,2048736,1349278,0,335286,3733300, 5728 , 3772 , 0 , 937 , 10437 
BIG SANDY 100J,ELBERT,2084007,1210121,2173,2990538,6286839, 6810 , 3955 , 7 , 9773 , 20545 
