district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
PLAINVIEW RE-2,KIOWA,"617,936","560,560",0,"2,335","1,180,831"," 7,902 "," 7,168 ", 0 , 30 ," 15,100 "
ARRIBA-FLAGLER C-20,KIT CARSON,"1,206,717","898,842","25,935","124,469","2,255,963"," 7,770 "," 5,788 ", 167 , 801 ," 14,526 "
HI PLAINS R-23,KIT CARSON,"877,543","775,064",0,756,"1,653,363"," 8,007 "," 7,072 ", 0 , 7 ," 15,085 "
STRATTON R-4,KIT CARSON,"1,295,799","977,592",0,"61,104","2,334,495"," 6,512 "," 4,913 ", 0 , 307 ," 11,731 "
BETHUNE R-5,KIT CARSON,"1,108,049","845,682",0,974,"1,954,705"," 9,188 "," 7,012 ", 0 , 8 ," 16,208 "
BURLINGTON RE-6J,KIT CARSON,"3,688,842","2,547,574","33,597","779,506","7,049,519"," 5,005 "," 3,456 ", 46 ," 1,058 "," 9,564 "
IGNACIO 11 JT,LA PLATA,"5,266,768","4,611,626",242,"374,139","10,252,776"," 6,762 "," 5,921 ", 0 , 480 ," 13,163 "
PRIMERO REORGANIZED 2,LAS ANIMAS,"1,496,695","1,363,504",0,"1,468,978","4,329,177"," 7,266 "," 6,619 ", 0 ," 7,131 "," 21,015 "
HOEHNE REORGANIZED 3,LAS ANIMAS,"1,526,007","1,552,144",0,"319,534","3,397,684"," 4,680 "," 4,760 ", 0 , 980 ," 10,419 "
AGUILAR REORGANIZED 6,LAS ANIMAS,"1,224,629","917,243",0,"86,848","2,228,719"," 9,964 "," 7,463 ", 0 , 707 ," 18,134 "
BRANSON REORGANIZED 82,LAS ANIMAS,"2,136,497","1,270,103","9,720",0,"3,416,320"," 4,896 "," 2,910 ", 22 , 0 ," 7,828 "
KIM REORGANIZED 88,LAS ANIMAS,"604,028","541,883",0,0,"1,145,911"," 10,597 "," 9,507 ", 0 , 0 ," 20,104 "
GENOA-HUGO C-113,LINCOLN,"1,273,861","1,059,313","5,173","123,401","2,461,748"," 7,458 "," 6,202 ", 30 , 722 ," 14,413 "
LIMON RE-4J,LINCOLN,"2,579,260","1,632,118",282,"638,962","4,850,622"," 5,583 "," 3,533 ", 1 ," 1,383 "," 10,499 "
KARVAL RE-23,LINCOLN,"1,049,533","841,421",0,"45,804","1,936,758"," 4,503 "," 3,610 ", 0 , 196 ," 8,309 "
FRENCHMAN RE-3,LOGAN,"1,517,818","1,005,411",0,"196,874","2,720,103"," 8,078 "," 5,351 ", 0 ," 1,048 "," 14,476 "
BUFFALO RE-4,LOGAN,"1,815,186","1,346,914",0,"161,114","3,323,214"," 5,880 "," 4,363 ", 0 , 522 ," 10,765 "
PLATEAU RE-5,LOGAN,"1,383,907","1,124,767",0,"94,563","2,603,237"," 8,590 "," 6,982 ", 0 , 587 ," 16,159 "
DE BEQUE 49JT,MESA,"1,055,154","765,557",0,"268,824","2,089,535"," 7,674 "," 5,568 ", 0 ," 1,955 "," 15,197 "
PLATEAU VALLEY 50,MESA,"2,377,474","1,544,894",0,"417,381","4,339,749"," 5,125 "," 3,330 ", 0 , 900 ," 9,355 "
CREEDE CONSOLIDATED 1,MINERAL,"1,098,261","683,583",0,"31,108","1,812,953"," 10,381 "," 6,461 ", 0 , 294 ," 17,136 "
DOLORES RE-4A,MONTEZUMA,"3,423,483","2,376,541",478,"387,710","6,188,212"," 5,150 "," 3,575 ", 1 , 583 ," 9,308 "
MANCOS RE-6,MONTEZUMA,"1,992,988","2,076,534",-158,"184,455","4,253,819"," 5,330 "," 5,554 ", 0 , 493 ," 11,377 "
WEST END RE-2,MONTROSE,"1,723,647","2,078,211",305,"106,793","3,908,957"," 5,477 "," 6,604 ", 1 , 339 ," 12,421 "
WELDON VALLEY RE-20(J),MORGAN,"1,450,791","867,092","25,540","148,469","2,491,892"," 7,218 "," 4,314 ", 127 , 739 ," 12,397 "
WIGGINS RE-50(J),MORGAN,"2,704,561","1,844,163",0,"420,834","4,969,558"," 5,297 "," 3,612 ", 0 , 824 ," 9,733 "
ROCKY FORD R-2,OTERO,"4,645,716","3,519,313","22,537","6,000","8,193,567"," 5,719 "," 4,333 ", 28 , 7 ," 10,087 "
MANZANOLA 3J,OTERO,"1,312,280","1,450,115","3,527","830,499","3,596,421"," 7,132 "," 7,881 ", 19 ," 4,514 "," 19,546 "
FOWLER R-4J,OTERO,"2,467,599","1,400,093",0,"265,983","4,133,675"," 5,927 "," 3,363 ", 0 , 639 ," 9,930 "
CHERAW 31,OTERO,"1,385,061","920,084","46,726","297,531","2,649,402"," 6,905 "," 4,587 ", 233 ," 1,483 "," 13,207 "
SWINK 33,OTERO,"2,202,269","1,541,879",0,"1,203,084","4,947,231"," 6,012 "," 4,209 ", 0 ," 3,284 "," 13,506 "
OURAY R-1,OURAY,"2,004,020","1,101,635",0,"251,333","3,356,987"," 8,675 "," 4,769 ", 0 ," 1,088 "," 14,532 "
RIDGWAY R-2,OURAY,"2,336,416","1,896,742","4,000","1,178,450","5,415,607"," 6,974 "," 5,662 ", 12 ," 3,518 "," 16,166 "
PARK COUNTY RE-2,PARK,"4,077,427","2,859,773","7,079","8,538,280","15,482,560"," 7,617 "," 5,342 ", 13 ," 15,950 "," 28,923 "
HOLYOKE RE-1J,PHILLIPS,"3,657,401","1,885,286",0,"213,843","5,756,531"," 6,328 "," 3,262 ", 0 , 370 ," 9,959 "
HAXTUN RE-2J,PHILLIPS,"2,009,137","1,028,345",0,"45,812","3,083,294"," 6,878 "," 3,521 ", 0 , 157 ," 10,556 "
GRANADA RE-1,PROWERS,"1,624,147","1,015,182",0,698,"2,640,027"," 6,992 "," 4,370 ", 0 , 3 ," 11,365 "
HOLLY RE-3,PROWERS,"1,667,088","1,069,183","34,070","860,861","3,631,202"," 6,010 "," 3,854 ", 123 ," 3,103 "," 13,090 "
