,district_name,est_child_poverty,est_total_child,est_total_pop,year
131,Ouray School District R-1,42,266,1701,2010
132,Platte Valley School District RE-3,34,122,828,2010
133,Plateau School District RE-5,10,102,533,2010
134,Peyton School District 23-JT,186,888,4063,2010
135,Pritchett School District RE-3,14,50,304,2010
136,Pueblo City School District 60,5319,18583,108830,2010
137,Pueblo County School District 70,1361,9815,50362,2010
138,Rangely School District RE-4,52,442,2781,2010
139,Ridgway School District R-2,39,317,2401,2010
140,Garfield School District RE-2,515,5194,24898,2010
141,Rocky Ford School District R-2,329,986,5507,2010
142,Mountain Valley School District RE-1,51,163,1369,2010
143,Salida School District R-32,224,1219,9292,2010
144,Centennial School District R-1,112,290,1892,2010
145,Sanford School District 6J,57,305,1371,2010
146,Sangre de Cristo School District RE-22J,67,267,1234,2010
147,Sargent School District RE-33J,49,217,1049,2010
148,Widefield School District 3,1465,9647,46279,2010
149,Hi-Plains School District R-23,29,90,570,2010
150,Sheridan School District 2,403,1439,8071,2010
151,Silverton School District 1,21,96,710,2010
152,Big Sandy School District 100J,56,366,1852,2010
153,Springfield School District RE-4,88,311,2002,2010
154,Steamboat Springs School District RE-2,263,2578,17406,2010
155,Valley School District RE-1,534,2888,20270,2010
156,Prairie School District RE-11,22,77,395,2010
157,Strasburg School District 31J,64,1082,4820,2010
158,Stratton School District R-4,38,229,1126,2010
159,Summit School District RE-1,385,3363,27939,2010
160,Swink School District 33,43,253,1244,2010
161,Telluride School District R-1,96,788,5865,2010
162,Northglenn-Thornton School District 12,4446,41735,210785,2010
163,Plainview School District RE-2,17,74,295,2010
164,Trinidad School District 1,382,1687,10441,2010
165,Vilas School District RE-5,10,45,239,2010
166,North Park School District R-1,49,199,1390,2010
167,Huerfano School District RE-1,240,744,5368,2010
168,Walsh School District RE-1,24,160,996,2010
169,Weldon Valley School District RE-20J,13,160,871,2010
170,Custer County School District C-1,132,544,3930,2010
171,Westminster School District 50,2845,12742,70626,2010
172,Primero Reorganized School District 2,16,125,1147,2010
173,Wiggins School District RE-50J,66,533,2526,2010
174,Wiley School District RE-13-JT,39,193,965,2010
175,Windsor School District RE-4,353,4595,21633,2010
176,Woodland Park School District RE-2,351,3124,18629,2010
177,Woodlin School District R-104,24,90,398,2010
