district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Sheridan School District 2,526,1444,8209,2011,0.36426592797783935,0.17590449506639055
Silverton School District 1,19,89,692,2011,0.21348314606741572,0.12861271676300579
Big Sandy School District 100J,48,358,1858,2011,0.1340782122905028,0.19268030139935413
Springfield School District RE-4,81,305,2002,2011,0.26557377049180325,0.15234765234765235
Steamboat Springs School District RE-2,247,2481,17252,2011,0.09955663039097139,0.14380941340134476
Valley School District RE-1,537,2822,20167,2011,0.19029057406094968,0.13993157137898546
Prairie School District RE-11,12,78,402,2011,0.15384615384615385,0.19402985074626866
Strasburg School District 31J,91,1100,4903,2011,0.08272727272727273,0.22435243728329593
Stratton School District R-4,43,235,1108,2011,0.1829787234042553,0.21209386281588447
Summit School District RE-1,400,3301,27830,2011,0.12117540139351711,0.11861300754581387
Swink School District 33,49,248,1244,2011,0.1975806451612903,0.19935691318327975
Telluride School District R-1,96,780,5972,2011,0.12307692307692308,0.130609511051574
Northglenn-Thornton School District 12,5913,42366,214588,2011,0.13956946608129162,0.1974294927954965
Plainview School District RE-2,17,73,302,2011,0.2328767123287671,0.24172185430463577
Trinidad School District 1,412,1614,10182,2011,0.2552664188351921,0.1585150265173836
Vilas School District RE-5,9,44,239,2011,0.20454545454545456,0.18410041841004185
North Park School District R-1,46,188,1370,2011,0.24468085106382978,0.13722627737226278
Huerfano School District RE-1,242,666,5249,2011,0.3633633633633634,0.12688131072585254
Walsh School District RE-1,54,157,996,2011,0.34394904458598724,0.1576305220883534
Weldon Valley School District RE-20J,13,159,870,2011,0.08176100628930817,0.18275862068965518
Custer County School District C-1,120,498,3869,2011,0.24096385542168675,0.12871543034375807
Westminster School District 50,3797,13021,71856,2011,0.2916058674448967,0.1812096415052327
Primero Reorganized School District 2,21,120,1118,2011,0.175,0.1073345259391771
Wiggins School District RE-50J,66,531,2528,2011,0.12429378531073447,0.2100474683544304
Wiley School District RE-13-JT,36,194,959,2011,0.18556701030927836,0.20229405630865485
Windsor School District RE-4,369,4646,22005,2011,0.07942315970727508,0.2111338332197228
Woodland Park School District RE-2,382,3081,18551,2011,0.12398571892242778,0.16608269096005607
Woodlin School District R-104,25,84,395,2011,0.2976190476190476,0.21265822784810126
