district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Crowley County School District RE-1-J,171,567,5658,2010,0.30158730158730157,0.10021208907741251
De Beque School District 49-JT,23,147,919,2010,0.1564625850340136,0.15995647442872687
Deer Trail School District 26J,28,193,901,2010,0.14507772020725387,0.2142064372918979
Del Norte School District C-7,196,688,4142,2010,0.28488372093023256,0.16610333172380493
Delta County School District 50J,1084,5117,31264,2010,0.21184287668555796,0.16367067553735926
Denver County School District 1,22978,85901,604414,2010,0.267493975623101,0.14212278339019283
Dolores School District RE-4A,97,550,3737,2010,0.17636363636363636,0.14717687985014719
Dolores County School District RE-2,47,329,2178,2010,0.14285714285714285,0.15105601469237834
Douglas County School District RE-1,2236,65857,289268,2010,0.03395235130661889,0.22766776829791058
Durango School District 9-R,687,5204,38053,2010,0.13201383551114526,0.13675662891230653
Eads School District RE-1,21,171,1104,2010,0.12280701754385964,0.15489130434782608
Eagle County School District RE 50,899,7314,43995,2010,0.12291495761553185,0.16624616433685646
Eaton School District RE-2,177,2093,9703,2010,0.08456760630673674,0.2157064825311759
Edison School District 54-JT,27,79,327,2010,0.34177215189873417,0.2415902140672783
Elbert School District 200,35,336,1558,2010,0.10416666666666667,0.21566110397946084
Elizabeth School District C-1,149,2881,14282,2010,0.05171815341895175,0.20172244783643747
Ellicott School District 22,172,954,4355,2010,0.18029350104821804,0.2190585533869116
Englewood School District 1,565,2911,25210,2010,0.19409137753349365,0.11547005156683855
Park School District R-3,121,1313,11531,2010,0.09215536938309216,0.11386696730552424
Park County School District RE-2,149,824,6986,2010,0.1808252427184466,0.11795018608645863
Falcon School District 49,1442,16636,74053,2010,0.08667949026208223,0.2246499129002201
Frenchman School District RE-3,16,175,954,2010,0.09142857142857143,0.18343815513626835
Florence School District RE-2,341,1899,16891,2010,0.17956819378620326,0.11242673613166775
Poudre School District R-1,3184,27169,185269,2010,0.11719238838381979,0.14664622791724466
Weld County School District RE-8,516,2595,12479,2010,0.19884393063583816,0.20794935491625932
Fort Morgan School District RE-3,750,3562,16976,2010,0.21055586749017405,0.20982563619227143
Fountain School District 8,1812,7595,31937,2010,0.23857801184990124,0.237811942261327
Fowler School District R-4J,88,399,2073,2010,0.22055137844611528,0.19247467438494936
Sierra Grande School District R-30,75,263,1636,2010,0.28517110266159695,0.16075794621026895
Weld County School District RE-1,211,1896,8981,2010,0.11128691983122363,0.21111234829083622
Gilpin County School District RE-1,12,313,2782,2010,0.038338658146964855,0.11250898634076203
Roaring Fork School District RE-1,777,6410,37535,2010,0.12121684867394696,0.17077394431863593
Granada School District RE-1,66,219,943,2010,0.3013698630136986,0.23223753976670203
East Grand School District 2,229,1624,11939,2010,0.14100985221674878,0.1360247926962057
Mesa County Valley School District 51,3793,23849,142920,2010,0.15904230785357876,0.16686957738595018
Garfield County School District 16,172,1182,5909,2010,0.1455160744500846,0.20003384667456423
Greeley School District 6,4942,21407,115025,2010,0.2308590647918905,0.1861073679634862
Pawnee School District RE-12,11,79,525,2010,0.13924050632911392,0.15047619047619049
Gunnison Watershed School District RE-1J,273,2000,15248,2010,0.1365,0.1311647429171039
Hanover School District 28,48,345,1663,2010,0.1391304347826087,0.2074564040889958
Harrison School District 2,4301,12513,72759,2010,0.3437225285702869,0.17197872428153219
Haxtun School District RE-2J,44,289,1479,2010,0.1522491349480969,0.19540229885057472
Hayden School District RE-1,44,510,2821,2010,0.08627450980392157,0.18078695498050337
Hinsdale County School District RE-1,17,110,817,2010,0.15454545454545454,0.1346389228886169
Hoehne Reorganized School District 3,45,289,2189,2010,0.15570934256055363,0.13202375513933304
Holly School District RE-3,101,257,1393,2010,0.39299610894941633,0.18449389806173727
Holyoke School District RE-1J,88,595,3180,2010,0.14789915966386555,0.1871069182389937
Genoa-Hugo School District C-113,53,218,1349,2010,0.24311926605504589,0.16160118606375093
Ignacio School District 11-JT,174,1008,5493,2010,0.17261904761904762,0.18350628072091754
Jefferson County School District R-1,9121,88970,538434,2010,0.10251770259638081,0.16523845076648205
Johnstown-Milliken School District RE-5J,317,3643,16644,2010,0.08701619544331594,0.21887767363614516
Julesburg School District RE-1,35,216,1525,2010,0.16203703703703703,0.14163934426229507
Karval School District RE-23,15,54,326,2010,0.2777777777777778,0.1656441717791411
Keenesburg School District RE-3J,307,2457,12715,2010,0.12494912494912495,0.19323633503735746
Platte Valley School District RE-7,137,1098,4724,2010,0.12477231329690346,0.23243014394580863
Kim Reorganized School District 88,20,55,306,2010,0.36363636363636365,0.17973856209150327
Kiowa School District C-2,45,528,2601,2010,0.08522727272727272,0.2029988465974625
Kit Carson School District R-1,20,88,480,2010,0.22727272727272727,0.18333333333333332
West Grand School District 1-JT,41,551,3037,2010,0.07441016333938294,0.18142904181758315
North Conejos School District RE-1J,234,1016,4639,2010,0.23031496062992127,0.2190127182582453
East Otero School District R-1,418,1609,8839,2010,0.2597886886264761,0.1820341667609458
La Veta School District RE-2,41,171,1299,2010,0.23976608187134502,0.13163972286374134
Lake County School District R-1,255,1260,7287,2010,0.20238095238095238,0.1729106628242075
Lamar School District RE-2,504,1800,9393,2010,0.28,0.1916320664324497
Las Animas School District RE-1,202,627,5629,2010,0.32216905901116427,0.11138745780778113
Limon School District RE-4J,80,460,3319,2010,0.17391304347826086,0.1385959626393492
Littleton School District 6,1450,15459,92356,2010,0.09379649395174332,0.1673849019013383
Lone Star School District 101,7,52,254,2010,0.1346153846153846,0.2047244094488189
St. Vrain Valley School District RE 1J,3375,29671,152450,2010,0.11374743015065215,0.19462774680223024
Thompson School District R-2J,1824,18194,104587,2010,0.10025283060349566,0.17396043485328005
Mancos School District RE-6,91,486,3227,2010,0.18724279835390947,0.15060427641772545
Manitou Springs School District 14,129,1154,8286,2010,0.11178509532062392,0.13927105961863384
Manzanola School District 3J,60,200,920,2010,0.3,0.21739130434782608
Mapleton School District 1,1069,6160,30589,2010,0.17353896103896105,0.201379580895093
McClave School District RE-2,28,154,733,2010,0.18181818181818182,0.2100954979536153
Meeker School District RE1,62,681,3832,2010,0.09104258443465492,0.17771398747390396
